scode,sname,amccode
132918,Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Dividend,3
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,3
102767,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,3
119503,Aditya Birla Sun Life Dynamic Bond Fund - Monthly Dividend - Direct Plan,3
111521,Aditya Birla Sun Life Dynamic Bond Fund - Monthly Dividend - Regular Plan,3
119502,Aditya Birla Sun Life Dynamic Bond Fund - Quarterly Dividend - Direct Plan,3
102766,Aditya Birla Sun Life Dynamic Bond Fund - Quarterly Dividend - Regular Plan,3
132917,Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan - Dividend,3
111848,Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth,3
119525,Aditya Birla Sun Life Enhanced Arbitrage Fund - Dividend - Direct Plan,3
119526,Aditya Birla Sun Life Enhanced Arbitrage Fund - Growth - Direct Plan,3
112085,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - INSTITUTIONAL PLAN - DIVIDEND,3
112086,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - INSTITUTIONAL PLAN - GROWTH,3
112087,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - REGULAR PLAN - DIVIDEND,3
112088,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND - REGULAR PLAN - GROWTH,3
120565,Aditya Birla Sun Life Equity Fund - Dividend - Direct Plan,3
103165,Aditya Birla Sun Life Equity Fund - Dividend - Regular Plan,3
120564,Aditya Birla Sun Life Equity Fund - Growth - Direct Plan,3
103166,Aditya Birla Sun Life Equity Fund - Growth - Regular Plan,3
132996,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Dividend,3
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,3
132997,Aditya Birla Sun Life Equity Savings Fund - Regular Plan - Dividend,3
132998,Aditya Birla Sun Life Equity Savings Fund - Regular Plan - Growth,3
132187,Aditya Birla Sun Life Financial Planning Fund - Aggressive Plan - Direct Plan - Dividend Option,3
132186,Aditya Birla Sun Life Financial Planning Fund - Aggressive Plan - Direct Plan - Growth Option,3
132181,Aditya Birla Sun Life Financial Planning Fund - Aggressive Plan - Regular Plan - Dividend Option,3
132180,Aditya Birla Sun Life Financial Planning Fund - Aggressive Plan - Regular Plan - Growth Option,3
132184,Aditya Birla Sun Life Financial Planning Fund - Conservative Plan - Direct Plan - Dividend Option,3
132183,Aditya Birla Sun Life Financial Planning Fund - Conservative Plan - Direct Plan - Growth Option,3
132179,Aditya Birla Sun Life Financial Planning Fund - Conservative Plan - Regular Plan - Dividend Option,3
132178,Aditya Birla Sun life Financial Planning Fund - Conservative Plan - Regular Plan - Growth Option,3
132189,Aditya Birla Sun Life Financial Planning Fund - Prudent Plan - Direct Plan - Dividend Option,3
